city,latitude,longitude
Aba,47.02907,18.52172
Abádszalók,47.46667,20.6
Abaliget,46.14258,18.11683
Abaliget,46.26667,18.15
Abasár,47.79705,20.00324
Abaújalpár,48.30672,21.23318
Abaújkér,48.3,21.2
Abaújlak,48.4,20.96667
Abaújszántó,48.28333,21.2
Abaújszolnok,48.36667,20.98333
Abaújvár,48.53333,21.31667
Abda,47.69464,17.54489
Abod,48.4,20.8
Abony,47.1899,20.00476
Ábrahámhegy,46.80998,17.55561
Ács,47.71231,18.01131
Ács,46.68333,19.16667
Acsa,47.79425,19.38795
Acsád,47.32493,16.7335
Acsalag,47.67846,17.19708
Ácsteszér,47.40532,18.00625
Adács,47.6921,19.97696
Ádánd,46.85931,18.16442
Adásztevel,47.30341,17.54087
Adony,47.1194,18.86493
Adorjánháza,47.24352,17.23961
Adorjás,45.85056,18.06278
Ág,46.29628,18.20233
Ágasegyháza,46.84025,19.45208
Ágfalva,47.68991,16.51658
Aggtelek,48.46667,20.51667
Agyagosszergény,47.61009,16.93794
Ajak,48.17664,22.06273
Ajka,47.10196,17.55892
Aka,47.40236,18.07127
Akasztó,47.13333,21.08333
Akasztó,46.69167,19.20423
Alacska,48.21667,20.65
Alap,46.79915,18.68938
Alattyán,47.42705,20.04219
Albertirsa,47.24315,19.61686
Alcsútdoboz,47.42837,18.60431
Aldebrő,47.78916,20.2303
Algyő,46.33472,20.20849
Alibánfa,46.88504,16.92071
Almamellék,46.15691,17.87404
Almásfüzitő,47.72752,18.26153
Almásháza,46.84457,17.04697
Almáskamarás,46.46667,21.1
Almáskeresztúr,46.11994,17.89562
Álmosd,47.4187,21.97803
Alsóberecki,48.35,21.7
Alsóbogát,46.5,17.75
Alsódobsza,48.18333,21
Alsógagy,48.4,21.03333
Alsómocsolád,46.31417,18.24794
Alsónána,46.25165,18.6574
Alsónémedi,47.31524,19.15843
Alsónemesapáti,46.85341,16.93532
Alsónyék,46.2019,18.73447
Alsóörs,46.99126,17.97562
Alsópáhok,46.7693,17.17157
Alsópetény,47.87582,19.24403
Alsórajk,46.65487,16.99678
Alsóregmec,48.46667,21.61667
Alsószenterzsébet,46.74507,16.47772
Alsószentiván,47.14198,19.06583
Alsószentiván,46.78657,18.72962
Alsószentmárton,45.78955,18.30575
Alsószölnök,46.92694,16.20243
Alsószuha,48.37142,20.50452
Alsótelekes,48.41667,20.66667
Alsótold,47.95181,19.59724
Alsóújlak,47.08047,16.8538
Alsóvadász,48.25,20.91667
Alsózsolca,48.06982,20.88046
Ambrózfalva,46.35,20.73333
Anarcs,48.17642,22.11167
Andocs,46.64828,17.92773
Andornaktálya,47.85,20.41667
Andrásfa,46.96439,16.79295
Annavölgy,47.7,18.66667
Apácatorna,47.11342,17.29442
Apagy,47.96431,21.93539
Apaj,47.11325,19.08806
Aparhant,46.32868,18.44896
Apátfalva,46.16667,20.58333
Apátistvánfalva,46.89621,16.2553
Apátvarasd,46.18684,18.48038
Apc,47.79419,19.69429
Áporka,47.23333,19.01667
Apostag,46.88208,18.9621
Aranyosapáti,48.20595,22.25916
Aranyosgadány,46.00626,18.12057
Arka,48.35,21.25
Arló,48.18333,20.26667
Arnót,48.13058,20.85832
Ároktő,47.73333,20.95
Árpádhalom,46.61667,20.55
Árpás,48.28333,21.73333
Árpás,47.51342,17.39336
Ártánd,47.11667,21.76667
Ásotthalom,46.19875,19.78334
Ásványráró,47.82733,17.49418
Aszaló,48.21667,20.96667
Ászár,47.51166,18.0015
Aszód,47.65174,19.4785
Aszófő,46.92858,17.83313
Áta,45.93896,18.29853
Átány,47.61559,20.36247
Atkár,47.72079,19.89126
Attala,46.37805,18.06386
Babarc,46.00424,18.55179
Babarcszőlős,45.9,18.13639
Babócsa,46.04155,17.34332
Babócsa,46.03333,17.36667
Bábolna,47.64361,17.97798
Bábolna,47.65,17.95
Bábonymegyer,46.75352,18.09539
Babosdöbréte,46.81476,16.78011
Babót,47.57571,17.07429
Bácsalmás,46.12648,19.3326
Bácsbokod,46.125,19.15621
Bácsborsód,46.0987,19.15806
Bácsszentgyörgy,45.9727,19.03622
Bácsszőlős,46.15,19.45
Badacsonytomaj,46.80711,17.51385
Badacsonytördemic,46.81068,17.47427
Bag,48.16898,22.34253
Bag,47.63333,19.48333
Bagamér,47.44882,21.989
Baglad,46.68048,16.48537
Bagod,46.87669,16.74823
Bágyogszovát,47.5844,17.36387
Baj,47.64593,18.3641
Baja,46.18299,18.95307
Bajánsenye,46.80183,16.38411
Bajna,47.654,18.5972
Bajót,47.72783,18.55586
Bak,46.73001,16.8456
Bakháza,46.10637,17.35908
Bakóca,46.20694,18.00067
Bakonszeg,47.18333,21.45
Bakonya,46.08523,18.08309
Bakonybánk,47.4671,17.90407
Bakonybél,47.25543,17.72805
Bakonycsernye,47.32395,18.07509
Bakonygyirót,47.41924,17.80418
Bakonyjákó,47.22425,17.60241
Bakonykoppány,47.3303,17.68672
Bakonykúti,47.24572,18.1954
Bakonynána,47.279,17.97089
Bakonyoszlop,47.34324,17.92728
Bakonypéterd,47.46677,17.797
Bakonypölöske,47.21025,17.48824
Bakonyság,47.40048,17.65131
Bakonysárkány,47.44786,18.10225
Bakonyszentiván,47.38977,17.67059
Bakonyszentkirály,47.37009,17.88066
Bakonyszentlászló,47.38901,17.80321
Bakonyszombathely,47.4717,17.96517
Bakonyszücs,47.34297,17.68066
Bakonytamási,47.41238,17.73398
Baks,46.54297,20.10213
Baksa,48.3,21.61667
Baksa,45.95361,18.08889
Baktakék,48.38333,21.03333
Baktalórántháza,48,22.08333
Baktüttös,46.70005,16.81793
Balajt,48.32088,20.78785
Balassagyarmat,48.07296,19.29614
Balástya,46.42277,20.00816
Balaton,48.09279,20.30617
Balaton,46.83333,17.75
Balatonakali,46.88186,17.75317
Balatonakarattya,47.01945,18.15649
Balatonalmádi,47.03526,18.02076
Balatonberény,46.70701,17.32013
Balatonboglár,46.77525,17.64415
Balatoncsicsó,46.92721,17.66879
Balatonederics,46.80949,17.38127
Balatonendréd,46.83861,17.98176
Balatonfenyves,46.71542,17.49223
Balatonfőkajár,47.02084,18.2126
Balatonföldvár,46.85255,17.88123
Balatonfüred,46.96188,17.87187
Balatonfűzfő,47.06667,18.05
Balatongyörök,46.75833,17.35462
Balatonhenye,46.91245,17.61474
Balatonkenese,47.04019,18.10671
Balatonkeresztúr,46.69743,17.37076
Balatonlelle,46.78318,17.69498
Balatonmagyaród,46.59593,17.17573
Balatonmáriafürdő,46.70559,17.37072
Balatonőszöd,46.80619,17.80033
Balatonrendes,46.82698,17.5835
Balatonszabadi,46.89397,18.13737
Balatonszárszó,46.82946,17.82426
Balatonszemes,46.80972,17.78048
Balatonszentgyörgy,46.68762,17.30239
Balatonszepezd,46.85627,17.66667
Balatonszőlős,46.96565,17.8261
Balatonudvari,46.90421,17.80347
Balatonújlak,46.67385,17.38548
Balatonvilágos,46.96268,18.16043
Balinka,47.31345,18.18954
Balkány,47.77066,21.86314
Ballószög,46.86216,19.57092
Balmazújváros,47.61667,21.35
Balogunyom,47.15884,16.64892
Balotaszállás,46.35102,19.54027
Balsa,48.18333,21.55
Bálványos,48.2,21.66667
Bálványos,46.78066,17.9512
Bana,47.65171,17.92181
